Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 47.65      1.52     1.52                             _mcount_private
 22.26      2.23     0.71                             __fentry__
  7.52      2.47     0.24    16683     0.01     0.03  IbsGenerator::findRidgesAroundVertex(vertexT*)
  1.25      2.51     0.04  2413412     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.94      2.54     0.03   713801     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.63      2.56     0.02  1254392     0.00     0.00  CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Property_map<CGAL::SM_Halfedge_index, CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Halfedge_connectivity>::operator[](CGAL::SM_Halfedge_index const&) const
  0.63      2.58     0.02  1073609     0.00     0.00  std::vector<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Base_property_array*, std::allocator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Base_property_array*> >::size() const
  0.63      2.60     0.02   676653     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.63      2.62     0.02   141208     0.00     0.00  std::pair<CGAL::SM_Halfedge_index, CGAL::SM_Halfedge_index>::pair<CGAL::SM_Halfedge_index&, CGAL::SM_Halfedge_index&, void>(CGAL::SM_Halfedge_index&, CGAL::SM_Halfedge_index&)
  0.31      2.63     0.01  6985840     0.00     0.00  orgQhull::Qhull::qh() const
  0.31      2.64     0.01  3430565     0.00     0.00  CGAL::Vector_3<CGAL::Simple_cartesian<double> >::rep() const
  0.31      2.65     0.01  2503691     0.00     0.00  CGAL::SM_Index<CGAL::SM_Halfedge_index>::SM_Index(unsigned int)
  0.31      2.66     0.01  2413412     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.31      2.67     0.01  1794290     0.00     0.00  std::vector<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Halfedge_connectivity, std::allocator<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Halfedge_connectivity> >::size() const
  0.31      2.68     0.01  1793818     0.00     0.00  CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Property_array<CGAL::Surface_mesh<CGAL::Point_3<CGAL::Simple_cartesian<double> > >::Halfedge_connectivity>::operator[](int)
  0.31      2.69     0.01  1390454     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.31      2.70     0.01  1180583     0.00     0.00  CGAL::VectorC3<CGAL::Simple_cartesian<double> >::x() const
  0.31      2.71     0.01  1180565     0.00     0.00  CGAL::VectorC3<CGAL::Simple_cartesian<double> >::y() const
  0.31      2.72     0.01  1124975     0.00     0.00  CGAL::CartesianKernelFunctors::Compute_z_3<CGAL::Simple_cartesian<double> >::operator()(CGAL::Vector_3<CGAL::Simple_cartesian<double> > const&) const
  0.31      2.73     0.01  1124975     0.00     0.00  CGAL::Cartesian_base_no_ref_count<double, CGAL::Simple_cartesian<double> >::compute_z_3_object() const
  0.31      2.74     0.01  1124975     0.00     0.00  CGAL::Vector_3<CGAL::Simple_cartesian<double> >::z() const
